zuowenjian ttys017                         Wed Sep  9 08:07   still logged in
zuowenjian ttys015                         Tue Sep  8 22:17   still logged in
zuowenjian ttys015                         Tue Sep  8 22:14 - 22:14  (00:00)
zuowenjian ttys014                         Tue Sep  8 21:57   still logged in
zuowenjian ttys025                         Mon Sep  7 22:58   still logged in
zuowenjian ttys024                         Mon Sep  7 21:48   still logged in
zuowenjian ttys029                         Mon Sep  7 11:47   still logged in
zuowenjian ttys028                         Mon Sep  7 11:33 - 11:33  (00:00)
